순번,금융회사 명,금융 상품명,가입 방법,대출종류 코드,대출종류명,CB 회사명,공시 시작일,공시 제출월,공시 종료일,900점 초과,801~900점,701~800점,601~700점,501~600점,401~500점,301~400점,300점 이하,평균 금리
12,DB손해보험주식회사,One-stop직장인프로미론,"인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB/NICE,20240712,202407,,,9.96,,,,,,,9.96
13,롯데카드㈜,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",1,일반신용대출,KCB,20240721,202407,,12.37,15.71,15.97,17.13,,,,,14.9
14,비씨카드㈜,일반신용대출,"인터넷,스마트폰",1,일반신용대출,NICE,20240721,202407,,12.84,13.84,14.33,16.5,,,,,13.48
15,신한카드㈜,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",1,일반신용대출,KCB,20240721,202407,,10.97,13.1,14.84,16.68,17.68,,,,14.58
16,한국캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,NICE,20240721,202407,,17.48,18.35,18.9,19.18,19.84,,,,18.78
17,케이비캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,"NICE,KCB",20240721,202407,,13.14,13.57,15.59,16.68,,,,,14.26
18,우리금융캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240721,202407,,11.71,12.87,14.13,15.18,,,,,13.25
19,롯데캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,KCB,20240721,202407,,11.87,12.89,14.88,16.81,17.54,,,,14.88
20,제이비우리캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,15.57,16.52,17.43,18.45,19.33,,,,17.73
21,하나캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,NICE,20240721,202407,,11.76,12.49,13.5,13.76,,,,,12.93
22,현대캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,13.3,14.86,16.39,17.46,17.82,,,,16.04
23,미래에셋캐피탈㈜,일반신용대출,스마트폰,1,일반신용대출,KCB,20240721,202407,,11.12,12.06,13.36,14.04,,,,,11.74
24,알씨아이파이낸셜서비스코리아㈜,일반신용대출,전화(텔레뱅킹),1,일반신용대출,NICE,20240721,202407,,14.03,16.7,,,,,,,15.56
25,현대커머셜㈜ ,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,11.85,12.66,12.98,,,,,,12.29
26,엔에이치농협캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타",1,일반신용대출,KCB,20240721,202407,,12.08,13.85,14.43,14.78,14.93,,,,14.22
27,㈜아이엠캐피탈,일반신용대출,"인터넷,스마트폰,모집인,기타",1,일반신용대출,KCB,20240721,202407,,13.39,13.95,14.74,15.41,16.36,,,,14.67
28,비엔케이캐피탈㈜,일반신용대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,12.54,13.09,13.89,15.6,17.12,,,,14.1
29,㈜케이비국민카드,일반신용대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,11.62,12.98,14.46,15.43,16.24,,,,14.14
30,메리츠캐피탈㈜ ,일반신용대출,전화(텔레뱅킹),1,일반신용대출,KCB,20240721,202407,,11.6,19.77,19.73,19.85,19.82,,,,19.68
31,롯데오토리스㈜,일반신용대출,영업점,1,일반신용대출,KCB,20240721,202407,,15,15,,,,,,,15
32,㈜우리카드,일반신용대출,"인터넷,스마트폰,전화(텔레뱅킹)",1,일반신용대출,KCB,20240721,202407,,13.56,16.73,18.48,19.69,,,,,16.2
33,하나카드㈜,일반신용대출,스마트폰,1,일반신용대출,NICE,20240721,202407,,10.56,14.46,16.94,19.59,,,,,15.24
34,한국투자캐피탈㈜,일반신용대출,"인터넷,스마트폰,모집인",1,일반신용대출,KCB,20240721,202407,,13.39,13.68,14.22,15.44,16.43,,,,14.48
35,우리은행,개인신용대출 우대고객,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,5.09,5.92,7.32,8.29,8.84,10,11.13,10.52,5.44
36,우리은행,개인신용대출 우대고객,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.58,3.59,3.61,3.64,3.65,3.54,3.52,3.7,3.58
37,우리은행,개인신용대출 우대고객,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,3,3.49,4.27,5.04,5.67,7.3,8.19,7.23,3.21
38,우리은행,개인신용대출 우대고객,"영업점,인터넷,스마트폰",1,일반신용대출,KCB,20240719,202407,,1.49,1.16,0.56,0.39,0.48,0.84,0.58,0.41,1.35
39,우리은행,개인신용대출 퍼펙트,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,5.37,5.6,6.47,5.69,4.73,,,,5.4
40,우리은행,개인신용대출 퍼펙트,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.58,3.58,3.55,3.43,3.23,,,,3.58
41,우리은행,개인신용대출 퍼펙트,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,2.89,3.12,3.61,2.72,1.5,,,,2.92
42,우리은행,개인신용대출 퍼펙트,"영업점,인터넷,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,1.1,1.1,0.69,0.46,,,,,1.1
43,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,5.4,7.1,8.54,8.96,,,,,6.19
44,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.6,3.6,3.6,3.6,,,,,3.6
45,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.35,4.47,5.3,5.72,,,,,3.8
46,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,1.55,0.97,0.36,0.36,,,,,1.21
47,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,0.47,0.36,0.26,0.4,,,,,0.41
48,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.77,5.19,6.1,5.5,,,,,3.77
49,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.6,3.6,3.61,3.6,,,,,3.61
50,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,6.9,8.43,9.45,8.7,,,,,6.97
51,한국씨티은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",3,장기카드대출(카드론),KCB,20240721,202407,,9.74,12.02,13.43,15.73,18.07,,,,13.07
52,아이엠뱅크,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,20240831,5.35,7.89,9.56,11.76,12.05,12,,,7.6
53,아이엠뱅크,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,20240831,3.58,3.57,3.57,3.57,3.57,3.56,,,3.58
54,아이엠뱅크,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,20240831,3.41,5.62,7.18,9.22,9.41,9.38,,,5.42
55,아이엠뱅크,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240720,202407,20240831,1.64,1.3,1.19,1.03,0.93,0.94,,,1.4
56,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,20240831,1.56,1.3,1.35,0.83,1.02,,,,1.51
57,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,20240831,3.17,3.95,5.43,10.67,11.56,,,,3.47
58,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,20240831,3.59,3.59,3.6,3.59,3.59,,,,3.59
59,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,20240831,5.2,6.24,7.68,13.43,14.13,,,,5.55
60,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240720,202407,20240831,10.15,12.23,14.22,16.82,,,,,12.44
61,아이엠뱅크,장기카드대출,"스마트폰,모집인",3,장기카드대출(카드론),NICE,20240721,202407,,1.56,1.3,1.35,0.83,1.02,,,,1.51
62,아이엠뱅크,장기카드대출,"스마트폰,모집인",3,장기카드대출(카드론),NICE,20240721,202407,,3.17,3.95,5.43,10.67,11.56,,,,3.47
63,아이엠뱅크,장기카드대출,"스마트폰,모집인",3,장기카드대출(카드론),NICE,20240721,202407,,3.59,3.59,3.6,3.59,3.59,,,,3.59
64,아이엠뱅크,장기카드대출,"스마트폰,모집인",3,장기카드대출(카드론),NICE,20240721,202407,,5.2,6.24,7.68,13.43,14.13,,,,5.55
65,아이엠뱅크,장기카드대출,"스마트폰,모집인",3,장기카드대출(카드론),NICE,20240721,202407,,10.15,12.23,14.22,16.82,,,,,12.44
66,부산은행,ONE신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,6.31,6.86,7.15,6.89,,,,,6.6
67,부산은행,ONE신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.2,3.2,3.19,3.19,,,,,3.2
68,부산은행,ONE신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,3.63,3.94,4.25,3.7,,,,,3.81
69,부산은행,ONE신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240719,202407,,0.52,0.28,0.29,,,,,,0.41
70,부산은행,ONE신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,0.43,0.06,,,,,,,0.35
71,부산은행,ONE신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.29,3.52,3.6,,,,,,3.34
72,부산은행,ONE신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,3.19,3.21,3.21,,,,,,3.19
73,부산은행,ONE신용대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240719,202407,,6.05,6.67,6.81,,,,,,6.18
74,부산은행,장기카드대출,"영업점,기타",3,장기카드대출(카드론),NICE,20240721,202407,,12.55,12.66,14.9,15.31,,,,,13.34
75,광주은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240708,202407,,6.71,7.82,9.24,10.9,11.6,12.49,,10.34,7.8
76,광주은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240708,202407,,3.8,3.8,3.77,3.74,3.84,3.83,,3.56,3.79
77,광주은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240708,202407,,3.59,4.41,6.08,11.21,32.1,36.89,,6.78,5.37
78,광주은행,일반신용대출,"영업점,스마트폰",1,일반신용대출,KCB,20240708,202407,,0.68,0.39,0.61,4.05,24.34,28.23,,,1.36
79,광주은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240708,202407,,0.23,0.43,-0.08,,,,,,0.26
80,광주은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240708,202407,,2.95,4.29,3,,,,,,3.21
81,광주은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240708,202407,,3.81,3.84,3.84,,,,,,3.82
82,광주은행,마이너스한도대출,"영업점,스마트폰",2,마이너스한도대출,KCB,20240708,202407,,6.53,7.7,6.92,,,,,,6.77
83,광주은행,장기카드대출,"영업점,인터넷,스마트폰,기타",3,장기카드대출(카드론),KCB,20240721,202407,,12.26,14.08,15.67,17.52,,,,,15.09
84,제주은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,NICE,20240720,202407,,5.73,6.31,7.85,,8.49,,10.32,,9.09
85,제주은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,NICE,20240720,202407,,3.62,3.61,3.61,,3.62,,3.63,,3.61
86,제주은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,NICE,20240720,202407,,2.88,3.27,4.8,,14.28,,8.03,,5.97
87,제주은행,개인신용대출,"영업점,인터넷,스마트폰",1,일반신용대출,NICE,20240720,202407,,0.77,0.57,0.56,,9.41,,1.34,,0.49
88,제주은행,개인신용대출2,"영업점,인터넷,스마트폰",2,마이너스한도대출,NICE,20240720,202407,,0.83,0.81,0.68,0.4,,,,,0.81
89,제주은행,개인신용대출2,"영업점,인터넷,스마트폰",2,마이너스한도대출,NICE,20240720,202407,,3.37,3.39,4.16,3.39,,,,,3.4
